label,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26
1,0.0,0.008292,0.11,0.1,0.160344,0.068,0.02,0.08,0.01,0.0,0.1,0.0,0.1,18,1479,2032,420661,664216,664521,664814,676748,677367,677662,732093,737432,1147338,1150514,1150550,1163036,1528983,1528994,1534050,1536021,1536022,1934144,1934163,1934311,2022806,2024736
1,0.0,0.134328,0.02,0.3,0.067359,0.17,0.04,0.36,0.46,0.0,0.3,0.0,0.3,15,1669,168320,530790,664217,664526,664929,676733,677367,677606,732155,910458,1147414,1150512,1151620,1318886,1528982,1529471,1533924,1536018,1707732,1934144,1934163,1935911,2022801,2022897
0,0.0,0.003317,0.0,0.0,0.077438,0.0,0.0,0.74,0.194,0.0,0.0,0.0,0.0,18,1508,2033,415607,664216,664524,665408,676733,677367,677371,733145,737433,1147419,1150518,1150585,1163037,1528986,1529049,1533924,1536018,1536023,1934144,1934169,1934181,2022801,2022897
1,1.0,0.533997,0.0,0.08,7.8e-05,0.008,0.89,0.8,0.176,0.3,0.4,1.0,0.08,14,1486,2208,415748,664216,664523,664568,676733,677367,677567,732126,737610,1147380,1150512,1150557,1163164,1528988,1529017,1533924,1536018,1536209,1934144,1934163,1934312,2022801,2022897
0,0.0,0.097844,0.02,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,16,1497,2034,415607,664216,664523,664579,676734,677368,677371,732150,737435,1147335,1150512,1150612,1163039,1528990,1529030,1533924,1536018,1536025,1934144,1934167,1934181,2022801,2022897
0,0.0,0.003317,0.0,0.0,1.0,0.284,0.0,0.14,0.126,0.0,0.0,0.0,0.0,17,1508,2033,415607,664216,664523,670636,676733,677368,679462,733079,737433,1148253,1150518,1150585,1163037,1528983,1529049,1533924,1536018,1536023,1934144,1934164,1934181,2022801,2022897
0,0.0,0.004975,0.78,0.02,0.247422,0.44,0.01,0.02,0.002,0.0,0.1,0.0,0.02,14,1481,2032,416625,664216,664524,665501,676733,677367,677412,732501,737432,1147749,1150513,1150544,1164501,1528984,1528997,1534555,1536019,1539599,1934144,1934164,1934182,2022803,2023203
0,0.0,0.041459,0.03,0.28,0.046344,0.58,0.62,0.38,0.508,0.0,0.2,0.0,1.0,14,1773,2032,416771,664216,664522,664874,676733,677367,677830,732367,737432,1147614,1150513,1151866,1163036,1528982,1529599,1533924,1536018,1536022,1934144,1934165,1934304,2022801,2022897
1,0.1,0.003317,0.0,0.0,0.000281,0.0,0.02,0.0,0.0,0.1,0.1,0.0,0.0,14,1627,2032,415606,664216,664521,665407,676740,677367,677371,732942,737432,1148059,1150512,1151266,1163036,1528983,1529232,1534016,1536019,1536022,1934144,1934163,1939653,2022803,2027008
0,0.3,0.006633,0.0,0.06,0.000719,0.02,0.17,0.76,0.264,0.1,0.4,0.0,0.06,16,1584,2032,484600,664218,664524,664557,676733,677367,677464,732112,737432,1147358,1150513,1151080,1163036,1528982,1529287,1533924,1536018,1536022,1934144,1934163,1935646,2022801,2022897
0,0.1,0.004975,0.09,0.1,0.000687,0.01,0.02,0.08,0.01,0.2,0.2,0.0,0.1,16,1580,2325,415978,664219,664522,664668,676734,677367,678537,732195,737737,1147365,1150513,1150848,1163363,1528983,1529127,1533925,1536019,1536334,1934144,1934163,1934207,2022807,2023439
